Brand,Model,Release year,Screen size (inches),Hard drive size (GB),RAM size (GB),Weight (grams),Retail price,Industry,Contract Lease Duration (months),Actual Lease Duration (months),Battery capacity (%),Observed resale price
Crest,Elevation Elite,2016,15,512,16,1150,2699,Automotive and Transportation,60,63,87.9,751
Crest,Elevation Elite,2016,15,512,16,1150,2719,Healthcare,6,5,95.59,2599
Crest,Elevation Elite,2016,15,512,16,1150,2759,Automotive and Transportation,24,27,95.05,1358
Crest,Elevation Elite,2016,15,512,16,1150,2639,Automotive and Transportation,36,31,94.66,1166
Crest,Elevation Elite,2016,15,512,16,1150,2659,Agriculture and Farming,12,10,89.12,1915
Crest,Elevation Elite,2016,15,512,16,1150,2719,Retail and E-Commerce,6,6,89.44,2376
Crest,Elevation Elite,2016,15,512,16,1150,2619,Consulting,24,26,88.74,1208
Crest,Elevation Elite,2016,15,512,16,1150,2669,Non-Profit Organizations,24,24,80.52,1227
Crest,Elevation Elite,2016,15,512,16,1150,2709,Non-Profit Organizations,36,39,87.97,1002
Crest,Elevation Elite,2016,15,512,16,1150,2719,Retail and E-Commerce,36,37,96.31,1240
Crest,Elevation Elite,2016,15,512,16,1150,2669,Event Management,48,49,90.13,958
Crest,Elevation Elite,2016,15,512,16,1150,2639,Sports and Recreation,12,11,86.03,1825
Crest,Elevation Elite,2016,15,512,16,1150,2739,Energy and Utilities,24,20,86.56,1489
Crest,Elevation Elite,2016,15,512,16,1150,2709,Education,36,28,85.27,1146
Crest,Elevation Elite,2016,15,512,16,1150,2719,Consulting,60,68,84.64,733
Crest,Elevation Elite,2016,15,512,16,1150,2669,Travel and Hospitality,6,6,93.99,2270
Crest,Elevation Elite,2016,15,512,16,1150,2699,Construction and Engineering,48,36,95.62,1074
Crest,Elevation Elite,2016,15,512,16,1150,2659,Real Estate and Property Management,12,12,82.53,1733
Crest,Elevation Elite,2016,15,512,16,1150,2719,Telecommunications,24,19,90.36,1566
Crest,Elevation Elite,2016,15,512,16,1150,2739,Automotive and Transportation,48,42,92.57,975
Crest,Elevation Elite,2016,15,512,16,1150,2829,Financial Services and Banking,48,40,89.14,894
Crest,Elevation Elite,2016,15,512,16,1150,2719,Healthcare,12,9,88.14,2180
Crest,Elevation Elite,2016,15,512,16,1150,2629,Consulting,12,11,79.48,1609
Crest,Elevation Elite,2016,15,512,16,1150,2699,Media and Entertainment,36,40,93.51,1088
Crest,Elevation Elite,2016,15,512,16,1150,2689,Consulting,24,24,82.29,1191
